IP Address;TTL;Hostname;MAC Address;MAC Vendor;Latency;Is Alive;Open Ports;Username;NIC Speed;Operating System;Serial Number;Model;Processor;Memory;% Free Mem;Time;Reliability;model;SNMP Description;SNMP Name;SNMP Location;SNMP Uptime;CustomSNMP;Switch/Port
192.168.1.252;128;MAG-VAGA4-PC;6C:4B:90:E7:E5:DF;LiteON;0;True;;;;;;;;;;;;;;;;;;192.168.1.11 | Port6-VAGA3
192.168.1.251;128;DEK-PRIPREMA-PC;6C:4B:90:41:02:78;LiteON;1;True;;;;;;;;;;;;;;;;;;192.168.1.18 | Port19
192.168.1.254;128;MAG-VAGA1-PC;A4:AE:12:28:DD:10;Hon Hai Precision Ind;1;True;;;;;;;;;;;;;;;;;;192.168.1.99 | Telefon
192.168.1.234;30;;28:63:36:A9:D3:5B;Siemens AG;1;True;;;;;;;;;;;;;"Siemens; SIMATIC S7; CPU-1200; 6ES7 214-1AG40-0XB0; HW: 5; FW: V.4.2.0; S C-HNNB1842";;;11d 9h 12m 22s 900ms;"Siemens; SIMATIC S7; CPU-1200; 6ES7 214-1AG40-0XB0; HW: 5; FW: V.4.2.0; S C-HNNB1842";192.168.1.22 | L2-PAL
192.168.1.237;30;;28:63:36:A9:D3:59;Siemens AG;4;True;;;;;;;;;;;;;"Siemens; SIMATIC S7; CPU-1200; 6ES7 214-1AG40-0XB0; HW: 5; FW: V.4.2.0; S C-HNNB1823";;;11d 9h 10m 26s 800ms;"Siemens; SIMATIC S7; CPU-1200; 6ES7 214-1AG40-0XB0; HW: 5; FW: V.4.2.0; S C-HNNB1823";192.168.1.22 | L1-PAL
192.168.1.240;64;;00:0C:26:16:F7:19;Weintek Labs ;0;True;80;;;;;;;;;;;;;;;;;192.168.1.22 | Port8
192.168.1.238;64;;00:0C:26:0C:B3:6C;Weintek Labs ;0;True;80;;;;;;;;;;;;;;;;;192.168.1.22 | L1-PAL
192.168.1.239;30;;E0:DC:A0:48:7D:DF;Siemens Industrial Automation ProductsChengdu;1;True;;;;;;;;;;;;;"Siemens; SIMATIC S7; CPU-1200; 6ES7 214-1AG40-0XB0; HW: 9; FW: V.4.2.2; S V-K7AM7994";;;1d 0h 12m 10s 600ms;"Siemens; SIMATIC S7; CPU-1200; 6ES7 214-1AG40-0XB0; HW: 9; FW: V.4.2.2; S V-K7AM7994";192.168.1.22 | Port8
192.168.1.248;0;DESKTOP-M2AC5S3;6C:4B:90:0F:A9:99;LiteON;0;False;;;;;;;;;;;;;;;;;;192.168.1.122 | Port5
192.168.1.247;255;;00:07:4D:67:9D:CB;Zebra Technologies Corp;0;True;23;;;;;;;;;;;;;;;;;192.168.1.16 | Port10-HPLaserJ
192.168.1.231;0;;A4:17:91:1B:A4:15;Shenzhen Decnta Technology;0;False;;;;;;;;;;;;;;;;;;192.168.1.18 | Downlink-Akadem
192.168.1.253;255;MT CSS 326-SIL;08:55:31:64:79:5D;Routerboardcom;0;True;80;;;;;;;;;;;;CSS326-24G-2S+ SwOS v2.13;MT CSS 326-SIL;SILOSI;62d 18h 31m 33s 700ms;CSS326-24G-2S+ SwOS v2.13;192.168.1.14 | Port16-SILOSI-MK
10.24.30.1;64;;;;9;True;"22;80";;;;;;;;;;;;;;;;;
10.24.30.11;63;;;;1;True;80;;;;;;;;;;;;;;;;;
10.24.30.12;63;;;;3;True;80;;;;;;;;;;;;;;;;;
10.24.30.13;63;;;;1;True;80;;;;;;;;;;;;;;;;;
10.24.30.15;63;;;;2;True;80;;;;;;;;;;;;;;;;;
10.24.30.14;63;;;;4;True;80;;;;;;;;;;;;;;;;;
10.24.30.16;63;;;;1;True;80;;;;;;;;;;;;;;;;;
10.24.30.17;63;;;;2;True;80;;;;;;;;;;;;;;;;;
10.24.30.18;63;;;;2;True;80;;;;;;;;;;;;;;;;;
10.24.30.19;63;;;;4;True;80;;;;;;;;;;;;;;;;;
10.24.30.31;63;;;;2;True;"80;443";;;;;;;;;;;;;;;;;
10.24.30.32;63;;;;1;True;"80;443";;;;;;;;;;;;;;;;;
10.24.30.34;63;;;;2;True;"80;443";;;;;;;;;;;;;;;;;
10.24.30.33;63;;;;1;True;"80;443";;;;;;;;;;;;;;;;;
10.24.30.35;63;;;;5;True;"80;443";;;;;;;;;;;;;;;;;
10.24.30.61;63;;;;3;True;"80;443";;;;;;;;;;;;;;;;;
10.24.30.62;63;;;;14;True;"80;443";;;;;;;;;;;;;;;;;
10.24.30.64;63;;;;2;True;"80;443";;;;;;;;;;;;;;;;;
10.24.30.65;63;;;;3;True;"80;443";;;;;;;;;;;;;;;;;
10.24.30.71;63;;;;5;True;"80;443";;;;;;;;;;;;;;;;;
10.24.30.72;63;;;;9;True;"80;443";;;;;;;;;;;;;;;;;
10.24.30.73;63;;;;7;True;"80;443";;;;;;;;;;;;;;;;;
10.24.30.82;63;;;;2;True;"80;443";;;;;;;;;;;;;;;;;
10.24.30.81;63;;;;1;True;"80;443";;;;;;;;;;;;;;;;;
